ticker,original_return,original_invested,original_sharpe,original_trades,improved_return,improved_invested,improved_sharpe,improved_trades,return_delta,invested_delta
VGT,20.433134454977516,36.65338645418327,0.49101858883456684,21,5.085213048356599,10.080918241142744,0.402291888296063,21,-15.347921406620916,-26.572468213040526
VHT,14.268132760171904,46.613545816733065,0.6346574580040328,25,4.021788667540568,13.230623324193083,0.5357919422456121,25,-10.246344092631336,-33.38292249253998
VFH,7.0300834141505035,37.25099601593625,0.2537923022245017,19,1.5881851174880648,14.024172796675854,0.1135847866288338,19,-5.441898296662439,-23.226823219260396
VCR,17.16121758750096,37.45019920318725,0.49407486227560066,25,7.670166892541838,11.450064241321202,0.6763815205346558,25,-9.491050694959123,-26.000134961866053
VDC,23.549342005866112,44.820717131474105,1.2978015843578916,26,9.35241964253466,16.618889190137953,1.244464790016743,26,-14.196922363331453,-28.201827941336152
VDE,34.34474606198861,43.02788844621514,0.946232042773044,26,8.652284518031047,13.610593239246619,0.7616558236093209,26,-25.692461543957563,-29.417295206968518
VIS,18.02007407799156,31.872509960159363,0.6521975769729026,20,3.7140939844182865,12.141898836335667,0.2645621518543371,20,-14.305980093573272,-19.730611123823696
VOX,5.782580749180215,28.68525896414343,0.20728274602952865,17,2.7447223446460702,8.034599572215106,0.28745271121724875,17,-3.037858404534145,-20.650659391928322
VNQ,12.95493067149,50.79681274900398,0.5253822878652524,24,5.599628562059769,13.239762198675983,0.9034944833338391,24,-7.355302109430231,-37.557050550328
VAW,0.9034762161728577,40.63745019920319,0.03414477225523205,16,-0.7566131987126391,16.628665716314636,-0.052212664327622026,16,-1.6600894148854968,-24.00878448288855
VPU,17.35977863118218,34.66135458167331,0.8607655525748947,22,7.537324180522555,9.903508505118474,0.777519046453404,22,-9.822454450659626,-24.757846076554834
