Period,Mean Reversion,Rebalancing,Buy-and-Hold,MR vs RB,MR vs B&H
2021-10-28 to 2023-10-28,-8.114457316401005,-9.893261618079595,-11.631988587076595,1.7788043016785906,3.5175312706755903
2024-01-21 to 2026-01-20,34.69749581379667,29.14723164632211,31.008211766950787,5.5502641674745625,3.6892840468458843
2022-07-03 to 2024-07-02,10.310776934076511,4.676051930055619,25.978090581598735,5.634725004020892,-15.667313647522224
2023-12-24 to 2025-12-23,37.41400807443836,31.713868734446603,28.489257931012872,5.700139339991754,8.924750143425484
2023-10-10 to 2025-10-09,32.13077541182769,28.734523169869064,38.709980493020666,3.396252241958628,-6.579205081192974
2021-05-14 to 2023-05-14,-2.240740752497077,-4.59447279423006,-2.7786492208063467,2.3537320417329832,0.5379084683092699
2023-06-23 to 2025-06-22,16.38816628053253,12.52458093157742,26.413067548167184,3.8635853489551106,-10.024901267634654
2023-12-17 to 2025-12-16,37.65294137206256,32.362074460533,28.6118457114376,5.290866911529555,9.041095660624958
2023-02-01 to 2025-01-31,25.70804163067392,18.119307376172856,28.206540844383742,7.588734254501066,-2.4984992137098203
2023-06-08 to 2025-06-07,17.804400135761718,14.582210861618988,26.72903841109659,3.22218927414273,-8.924638275334871
