period,start,end,dips_return,dips_value,dips_drawdown,dips_sharpe,dips_trades,dips_invested_pct,sp500_return,sp500_value,outperformance
2002-04-27 to 2004-04-26,2002-04-27,2004-04-26,6.284164511616473,10628.416451161647,-28.858453167233055,0.17996096330041078,39,89.66269983648931,6.868796833208688,10686.879683320869,-0.5846323215922151
2003-02-26 to 2005-02-25,2003-02-26,2005-02-25,35.8098761298068,13580.98761298068,-6.682014607590475,1.5368932495301963,148,75.5928103357524,45.87938902149897,14587.938902149897,-10.06951289169217
2004-04-28 to 2006-04-28,2004-04-28,2006-04-28,25.782719746838012,12578.271974683801,-5.893403603753219,1.2876763956502888,118,82.88488127260302,16.530758355191267,11653.075835519126,9.251961391646745
2004-10-31 to 2006-10-31,2004-10-31,2006-10-31,23.63846222703807,12363.846222703807,-8.067634883721698,1.0846863215121727,104,83.6668253636939,21.39017768739217,12139.017768739217,2.2482845396458977
2005-05-02 to 2007-05-02,2005-05-02,2007-05-02,32.82131185570941,13282.131185570941,-6.452384856453945,1.6251258771547226,128,71.57160355812968,28.470782925965832,12847.078292596583,4.350528929743579
2006-03-07 to 2008-03-06,2006-03-07,2008-03-06,7.131016846716866,10713.101684671687,-13.635583797456837,0.2392268312059064,118,79.87489111681224,2.4146255438112165,10241.462554381122,4.71639130290565
2006-09-16 to 2008-09-15,2006-09-16,2008-09-15,-2.3978357398959815,9760.216426010402,-17.195729009239223,-0.06939632336879065,98,80.96441353029674,-9.119118440605781,9088.088155939422,6.7212827007098
2007-03-29 to 2009-03-28,2007-03-29,2009-03-28,-37.00485744661567,6299.514255338434,-49.10826245127461,-0.8521651337249747,54,90.81467763235513,-42.51602457657048,5748.397542342952,5.5111671299548135
2008-02-11 to 2010-02-10,2008-02-11,2010-02-10,-12.890442246190052,8710.955775380995,-53.9262118866499,-0.23219862412799097,62,92.67815570368457,-19.992521767304325,8000.747823269568,7.102079521114273
2010-07-09 to 2012-07-08,2010-07-09,2012-07-08,19.604307305315995,11960.4307305316,-8.326598326143321,1.1752954337399162,27,75.92749336735932,25.50019140621769,12550.01914062177,-5.8958841009016965
2011-03-12 to 2013-03-11,2011-03-12,2013-03-11,60.89502211988802,16089.502211988802,-11.156507751808387,1.359802486373368,86,77.50618017476869,19.976928195226137,11997.692819522614,40.91809392466188
2012-05-10 to 2014-05-10,2012-05-10,2014-05-10,38.55300310257216,13855.300310257217,-12.304889932287486,0.78502816800396,158,69.0910303301516,38.185561542378366,13818.556154237836,0.3674415601937966
2013-03-07 to 2015-03-07,2013-03-07,2015-03-07,19.366700729899385,11936.670072989938,-13.722257884333509,0.6328343366675308,72,65.95768983844565,34.06124928058525,13406.124928058525,-14.694548550685866
2016-03-03 to 2018-03-03,2016-03-03,2018-03-03,15.993790532261645,11599.379053226165,-8.589950431213458,0.7742307070943871,116,82.86031251691088,34.68815107438588,13468.815107438588,-18.694360542124233
2016-10-27 to 2018-10-27,2016-10-27,2018-10-27,16.404172642494032,11640.417264249403,-8.899209839661124,0.8482846155607623,112,83.58034560467907,24.46872864444158,12446.872864444158,-8.064556001947548
2017-04-30 to 2019-04-30,2017-04-30,2019-04-30,16.75870911978851,11675.870911978851,-17.929338789581582,0.6684790361816493,92,83.53423847185354,23.1858547159684,12318.58547159684,-6.427145596179891
2018-01-28 to 2020-01-28,2018-01-28,2020-01-28,25.015005198445067,12501.500519844507,-16.44084611720402,0.9296810199650423,148,83.27551226655258,14.8271824710663,11482.71824710663,10.187822727378768
2019-01-11 to 2021-01-10,2019-01-11,2021-01-10,20.666806341079628,12066.680634107963,-38.321646852713734,0.40427190762242016,130,79.9337955419524,47.21599876129135,14721.599876129136,-26.549192420211725
2019-07-15 to 2021-07-14,2019-07-15,2021-07-14,22.81366157363629,12281.36615736363,-38.46399512813161,0.4700123443475379,115,84.31390831510373,45.050703319825445,14505.070331982544,-22.237041746189156
2020-02-18 to 2022-02-17,2020-02-18,2022-02-17,70.83295890078229,17083.29589007823,-17.834341574716248,1.3973740384058229,264,78.44110628104418,29.795380066773795,12979.53800667738,41.03757883400849
2020-08-24 to 2022-08-24,2020-08-24,2022-08-24,44.427090728437214,14442.709072843722,-18.437426766829645,1.0224715422679396,231,81.38540168521756,20.631633392522765,12063.163339252276,23.79545733591445
2021-06-20 to 2023-06-20,2021-06-20,2023-06-20,16.79980320301551,11679.98032030155,-17.198818450773544,0.43491581135729046,129,90.3161833466027,3.8777759569102273,10387.777595691023,12.922027246105284
2022-03-05 to 2024-03-04,2022-03-05,2024-03-04,12.4237587604492,11242.37587604492,-20.927263180948557,0.34859773262471866,49,94.23889855837365,22.141953779870928,12214.195377987093,-9.718195019421728
2022-11-25 to 2024-11-24,2022-11-25,2024-11-24,31.738727062066445,13173.872706206645,-9.312637603927937,1.289596952163958,132,86.59111344776366,48.01531818177337,14801.531818177336,-16.27659111970692
2023-08-06 to 2025-08-05,2023-08-06,2025-08-05,25.34208805104332,12534.208805104332,-12.900026167703052,0.8787671452593682,132,86.26634769603675,39.3290547377879,13932.90547377879,-13.98696668674458
