Ticker,ETF,Trades,P&L,Return %,Wins,Win Rate %
DIG,Oil & Gas (3x),22,1892.7811067766863,18.927811067766864,9,81.81818181818183
ROM,Real Estate (3x),19,1363.8360869994272,13.63836086999427,6,60.0
UGE,Renewable Energy (3x),24,883.3747489809216,8.833747489809216,10,83.33333333333334
UCC,Commodities (Ultra),23,777.5417418246145,7.775417418246146,10,83.33333333333334
LTL,Long-Term Treasury (3x),17,688.3002112760505,6.883002112760506,6,66.66666666666666
URE,Real Estate (3x),20,528.9846984434699,5.289846984434699,8,80.0
RXL,Healthcare (3x),21,447.5986034049096,4.475986034049096,7,63.63636363636363
UPW,Utilities (3x),18,402.14858304188186,4.021485830418818,7,77.77777777777779
UXI,Semiconductors (2x),14,36.12533643660115,0.3612533643660115,5,71.42857142857143
UYG,Financials (Ultra),13,-28.55810528424547,-0.2855810528424547,5,71.42857142857143
UYM,Metals & Mining (3x),16,-333.88876553243165,-3.3388876553243163,5,62.5
