start_date,end_date,days,return_pct,final_value,max_drawdown,sharpe_ratio
2023-08-25,2025-08-24,500,33.15368757634264,13315.368757634265,-27.40867379906823,0
2021-10-26,2023-10-26,504,-10.927237855026924,8907.276214497308,-35.45591237965412,0
2021-08-30,2023-08-30,504,0.32162220922811685,10032.162220922812,-35.45591237965412,0
2021-03-18,2023-03-18,504,-0.3865144738780327,9961.348552612197,-35.45591237965412,0
2023-03-31,2025-03-30,500,24.171473858350964,12417.147385835096,-16.162783030686658,0
2023-09-29,2025-09-28,500,39.11989950559075,13911.989950559077,-27.40867379906823,0
2021-12-16,2023-12-16,503,0.36472974503567457,10036.472974503567,-35.45591237965412,0
2021-03-05,2023-03-05,503,7.957645678622921,10795.764567862292,-35.45591237965412,0
2023-07-29,2025-07-28,500,24.778897942453224,12477.889794245322,-27.40867379906823,0
2021-04-09,2023-04-09,503,1.698244252323948,10169.824425232395,-35.45591237965412,0
