ticker,avg_cash_pct,avg_invested_pct,max_cash_pct,min_cash_pct,fully_invested_days,partially_invested_days,idle_days,total_days,fully_invested_pct,partially_invested_pct,idle_days_pct,avg_daily_cash,avg_daily_invested
VGT,67.24067243460509,32.75932756539492,100.0,0.0,62,122,318,502,12.350597609561753,24.302788844621514,63.34661354581673,7305.0272533968855,3583.2598904862157
VHT,55.40741714017612,44.59258285982388,100.0,-3.2363348070826046,221,13,268,502,44.02390438247012,2.589641434262948,53.38645418326693,5787.290137304917,4566.974540818771
VFH,64.89275869200696,35.10724130799305,100.0,0.0,164,23,315,502,32.669322709163346,4.581673306772909,62.74900398406375,6844.767953053203,3657.723255225832
VCR,66.5192159232602,33.48078407673978,100.0,0.0,86,102,314,502,17.131474103585656,20.318725099601593,62.54980079681275,7288.7039379703465,3633.5157879930694
VDC,59.44832160046235,40.551678399537636,100.0,0.0,130,95,277,502,25.89641434262948,18.92430278884462,55.17928286852589,6580.087096630796,4457.4016572246255
VDE,61.32003061872662,38.679969381273374,100.0,-1.3213095755125053,86,130,286,502,17.131474103585656,25.89641434262948,56.97211155378486,6980.820217348337,4236.3348904842605
VIS,70.79896083144729,29.201039168552708,100.0,0.0,71,89,342,502,14.143426294820719,17.729083665338646,68.12749003984064,7788.226422608798,3133.872892216986
VOX,72.83383819235387,27.166161807646134,100.0,0.0,127,17,358,502,25.298804780876495,3.386454183266932,71.31474103585657,7560.704935282998,2784.4050673006127
VNQ,50.70128164635064,49.29871835364935,100.0,-3.616322252354283,234,21,247,502,46.613545816733065,4.183266932270916,49.20318725099602,5262.991276598656,5031.8695619457185
VAW,60.71682907587574,39.28317092412426,100.0,-1.3549351466611614,204,0,298,502,40.63745019920319,0.0,59.36254980079681,6200.6613642675,3979.7264417527795
VPU,68.69877935413862,31.301220645861388,100.0,0.0,109,65,328,502,21.713147410358566,12.94820717131474,65.33864541832669,7519.531357152241,3432.8799341317736
