Period,Strategy Return,B&H Return,Outperformance,Drawdown,Trades
2023-08-25 to 2025-08-24,30.030460806491497,33.15368757634264,-3.1232267698511436,-17.31281559360539,157
2021-10-26 to 2023-10-26,-6.698493900668782,-10.927237855026924,4.2287439543581415,-18.880079332378017,134
2021-08-30 to 2023-08-30,-0.1316493361641369,0.32162220922811685,-0.4532715453922538,-18.908761618926803,133
2021-03-18 to 2023-03-18,-4.896150610387486,-0.3865144738780327,-4.509636136509453,-18.836371081601463,138
2023-03-31 to 2025-03-30,15.753253958351179,24.171473858350964,-8.418219899999785,-9.855216467483691,139
2023-09-29 to 2025-09-28,39.04146685992639,39.11989950559075,-0.07843264566436403,-17.375333224501535,168
2021-12-16 to 2023-12-16,-2.9586243069946976,0.36472974503567457,-3.323354052030372,-18.901105145503507,125
2021-03-05 to 2023-03-05,-3.727345479870619,7.957645678622921,-11.68499115849354,-18.852000373057873,134
2023-07-29 to 2025-07-28,24.484956766521083,24.778897942453224,-0.2939411759321402,-17.31551254123616,151
2021-04-09 to 2023-04-09,-0.5924539105493386,1.698244252323948,-2.2906981628732868,-18.845506775363997,145
