year,daily_return,sp500_return,outperformance,drawdown,sharpe,trades
1999,18.219292924518484,19.380238760477532,-1.1609458359590477,-6.795957673534825,1.4192858572891596,1807
2000,8.898857167240967,-9.798023205844437,18.696880373085406,-10.621030623109304,0.45694777069687265,1786
2001,-7.423109429949,-11.266373176704274,3.843263746755274,-22.004083628081442,-0.5006087549813506,1760
2002,-13.271080719065559,-23.630222202733613,10.359141483668054,-24.70879860012284,-0.7180902477227726,1786
2003,15.807585083940104,22.19171972350545,-6.384134639565346,-7.074286186828542,1.6840420290819187,1765
2004,7.096194527821208,8.666725792243287,-1.5705312644220797,-5.268420158459912,0.9814943212022876,1786
2005,9.93357428838106,3.4995835225884,6.433990765792659,-4.410275194545702,1.400563673138221,1797
2006,12.785769643546773,11.775847299380949,1.0099223441658243,-4.531920019283187,1.7192692351736276,1753
2007,10.709065665240905,3.4236484146919612,7.285417250548944,-5.262602855735415,0.9474849710255493,1714
2008,3.953169083643515,-37.73545682456298,41.6886259082065,-22.42794619374401,0.12598018941621478,1774
2009,31.73670127057561,19.879521879234144,11.857179391341468,-16.82966281783134,1.5589940724873987,1742
2010,7.508458034951528,10.95914406448195,-3.4506860295304227,-0.3843910334841894,12.366921177124885,30
2011,0.6421024902166936,-1.2199945017918254,1.862096992008519,-4.735696514768206,0.37916098519214764,198
2012,34.98687017032502,11.694120519301485,23.292749651023534,-8.182814622319933,1.3946960020986545,1681
2013,19.77627618488052,26.448038839187028,-6.671762654306509,-16.971970805449523,0.6743641858595488,1699
2014,0.9591650195448892,12.366059120717692,-11.406894101172803,-2.631168651090103,0.8721572295387373,209
2015,0.9779490589827583,-0.7593815967543741,1.7373306557371324,-3.6435015410216307,0.3971826302251346,442
2017,8.370589077757522,18.4780584458215,-10.107469368063978,-2.8704017197133793,1.4990804255453158,1909
2018,-4.269043166957781,-7.013428438904958,2.744385271947177,-15.10790023188009,-0.3602414472345901,1913
2019,13.793155652396416,28.651368924082725,-14.858213271686308,-4.160754914557339,1.7245589342381873,1871
2020,0.09989762902639997,15.086037646519507,-14.986140017493108,-27.878213931890617,0.0037245833772688616,1839
2021,23.510915264969846,28.788736259166797,-5.277820994196951,-4.182966847659617,2.092298498279079,1921
2022,-0.48465887405185637,-19.945155111593806,19.46049623754195,-12.390876475091432,-0.03238608580782446,1888
2023,4.3689599018960505,24.812244214345867,-20.443284312449816,-7.939845804380638,0.49607914255533075,1917
2024,9.669714417743107,23.99873577872124,-14.329021360978134,-6.794085524716249,1.1370364415972942,1949
2025,16.493346879006985,16.6392935523266,-0.14594667331961375,-10.891425042566652,1.2992953793271464,1959
2026,1.465482068310357,-0.20785206400718378,1.6733341323175408,-1.1522665195583828,1.6384078593484466,203
