start_date,end_date,days,return_pct,final_value,max_drawdown,sharpe_ratio,num_trades,avg_deployed
2023-08-25,2025-08-24,500,30.030460806491497,13003.04608064915,-17.31281559360539,0.949212427466767,157,62.33990169947711
2021-10-26,2023-10-26,504,-6.698493900668782,9330.150609933122,-18.880079332378017,-0.19660785796472924,134,69.59881264842865
2021-08-30,2023-08-30,504,-0.1316493361641369,9986.835066383586,-18.908761618926803,-0.003956458742698533,133,65.80365481939859
2021-03-18,2023-03-18,504,-4.896150610387486,9510.384938961251,-18.836371081601463,-0.14038681154681135,138,69.1934135071572
2023-03-31,2025-03-30,500,15.753253958351179,11575.325395835118,-9.855216467483691,0.6437927858302643,139,64.83950057962844
2023-09-29,2025-09-28,500,39.04146685992639,13904.146685992639,-17.375333224501535,1.1851226255905305,168,58.748280687906984
2021-12-16,2023-12-16,503,-2.9586243069946976,9704.13756930053,-18.901105145503507,-0.09034163331349389,125,67.43137230753446
2021-03-05,2023-03-05,503,-3.727345479870619,9627.265452012938,-18.852000373057873,-0.10849449930780228,134,67.9461924482122
2023-07-29,2025-07-28,500,24.484956766521083,12448.495676652108,-17.31551254123616,0.7696202066195049,151,63.55803035238018
2021-04-09,2023-04-09,503,-0.5924539105493386,9940.754608945066,-18.845506775363997,-0.016986272283295856,145,70.03243553387489
